CONSUMPTION_ID,YEAR_FIELD,CONSUMPTION
CONS1960,1/1/1960,
CONS1961,1/1/1961,
CONS1962,1/1/1962,
CONS1963,1/1/1963,
CONS1964,1/1/1964,
CONS1965,1/1/1965,
CONS1966,1/1/1966,
CONS1967,1/1/1967,
CONS1968,1/1/1968,
CONS1969,1/1/1969,
CONS1970,1/1/1970,
CONS1971,1/1/1971,
CONS1972,1/1/1972,
CONS1973,1/1/1973,
CONS1974,1/1/1974,
CONS1975,1/1/1975,89.9704308
CONS1976,1/1/1976,88.2718167
CONS1977,1/1/1977,86.5046296
CONS1978,1/1/1978,86.6207177
CONS1979,1/1/1979,88.3637192
CONS1980,1/1/1980,88.9041146
CONS1981,1/1/1981,89.10902
CONS1982,1/1/1982,90.0671222
CONS1983,1/1/1983,91.451423
CONS1984,1/1/1984,90.1345519
CONS1985,1/1/1985,85.914224
CONS1986,1/1/1986,88.3762831
CONS1987,1/1/1987,87.9045628
CONS1988,1/1/1988,88.6425506
CONS1989,1/1/1989,89.7088127
CONS1990,1/1/1990,93.008314
CONS1991,1/1/1991,91.4400813
CONS1992,1/1/1992,89.0712991
CONS1993,1/1/1993,87.7527578
CONS1994,1/1/1994,90.040648
CONS1995,1/1/1995,84.3447023
CONS1996,1/1/1996,85.6175307
CONS1997,1/1/1997,86.0391497
CONS1998,1/1/1998,86.2261297
CONS1999,1/1/1999,86.3865207
CONS2000,1/1/2000,84.8277152
CONS2001,1/1/2001,88.3353727
CONS2002,1/1/2002,90.5103338
CONS2003,1/1/2003,91.4388202
CONS2004,1/1/2004,88.2507572
CONS2005,1/1/2005,88.4443402
CONS2006,1/1/2006,91.0169217
CONS2007,1/1/2007,90.1827915
CONS2008,1/1/2008,90.1689039
CONS2009,1/1/2009,90.5663343
CONS2010,1/1/2010,88.548599
CONS2011,1/1/2011,92.874174
CONS2012,1/1/2012,90.8793663
CONS2013,1/1/2013,91.8210331
CONS2014,1/1/2014,90.6352828
CONS2015,1/1/2015,92.3747301
CONS2016,1/1/2016,96.3571411
CONS2017,1/1/2017,87.0152449
CONS2018,1/1/2018,85.2083879
CONS2019,1/1/2019,84.6965927
CONS2020,1/1/2020,94.2806425
CONS2021,1/1/2021,92.2919377
