INFLATION_ID,YEAR_FIELD,INFLATION
INF1960,1/1/1960,0
INF1961,1/1/1961,0
INF1962,1/1/1962,0
INF1963,1/1/1963,0
INF1964,1/1/1964,0
INF1965,1/1/1965,8.471869328
INF1966,1/1/1966,14.38897069
INF1967,1/1/1967,-2.808331383
INF1968,1/1/1968,1.179869974
INF1969,1/1/1969,4.057591623
INF1970,1/1/1970,15.23727845
INF1971,1/1/1971,-1.999503845
INF1972,1/1/1972,8.389023896
INF1973,1/1/1973,11.42977253
INF1974,1/1/1974,19.80633803
INF1975,1/1/1975,7.585985214
INF1976,1/1/1976,-3.113235733
INF1977,1/1/1977,9.898852843
INF1978,1/1/1978,7.346091251
INF1979,1/1/1979,3.565453785
INF1980,1/1/1980,14.68450278
INF1981,1/1/1981,11.14485673
INF1982,1/1/1982,11.69854659
INF1983,1/1/1983,12.37723808
INF1984,1/1/1984,2.845784957
INF1985,1/1/1985,8.052641266
INF1986,1/1/1986,18.99894955
INF1987,1/1/1987,10.75032804
INF1988,1/1/1988,8.983003382
INF1989,1/1/1989,8.846886912
INF1990,1/1/1990,8.239700375
INF1991,1/1/1991,15.55745293
INF1992,1/1/1992,17.14952362
INF1993,1/1/1993,7.505394191
INF1994,1/1/1994,8.349286729
INF1995,1/1/1995,7.622969507
INF1996,1/1/1996,9.220466624
INF1997,1/1/1997,4.009988605
INF1998,1/1/1998,11.24446778
INF1999,1/1/1999,7.45111261
INF2000,1/1/2000,2.478820207
INF2001,1/1/2001,2.688303735
INF2002,1/1/2002,3.029399487
INF2003,1/1/2003,5.707009319
INF2004,1/1/2004,2.841811312
INF2005,1/1/2005,6.836332659
INF2006,1/1/2006,6.920335807
INF2007,1/1/2007,2.269219244
INF2008,1/1/2008,9.907830053
INF2009,1/1/2009,11.09482374
INF2010,1/1/2010,9.326504107
INF2011,1/1/2011,9.227075461
INF2012,1/1/2012,9.459809804
INF2013,1/1/2013,9.040163119
INF2014,1/1/2014,8.364154697
INF2015,1/1/2015,7.868908956
INF2016,1/1/2016,8.79034332
INF2017,1/1/2017,3.627096107
INF2018,1/1/2018,4.061163388
INF2019,1/1/2019,5.568685478
INF2020,1/1/2020,5.052366553
INF2021,1/1/2021,4.087910459
