FACT_ID,INFLATION_ID,UNEMP_ID,GDP_ID,CONSUMPTION_ID,YEAR_FIELD,CONSUMPTION,GDP,Unemployment,Employment,INFLATION
fact1960,INF1960,UNEMP1960,GDP1960,CONS1960,1/1/1960,,508334414,0,100,0
fact1961,INF1961,UNEMP1961,GDP1961,CONS1961,1/1/1961,,531959562,0,100,0
fact1962,INF1962,UNEMP1962,GDP1962,CONS1962,1/1/1962,,574091101,0,100,0
fact1963,INF1963,UNEMP1963,GDP1963,CONS1963,1/1/1963,,496947904,0,100,0
fact1964,INF1964,UNEMP1964,GDP1964,CONS1964,1/1/1964,,496098775,0,100,0
fact1965,INF1965,UNEMP1965,GDP1965,CONS1965,1/1/1965,,735267082,0,100,8.471869328
fact1966,INF1966,UNEMP1966,GDP1966,CONS1966,1/1/1966,,906811944,0,100,14.38897069
fact1967,INF1967,UNEMP1967,GDP1967,CONS1967,1/1/1967,,841974025,0,100,-2.808331383
fact1968,INF1968,UNEMP1968,GDP1968,CONS1968,1/1/1968,,772228643,0,100,1.179869974
fact1969,INF1969,UNEMP1969,GDP1969,CONS1969,1/1/1969,,788641965,0,100,4.057591623
fact1970,INF1970,UNEMP1970,GDP1970,CONS1970,1/1/1970,,865975309,0,100,15.23727845
fact1971,INF1971,UNEMP1971,GDP1971,CONS1971,1/1/1971,,882765472,0,100,-1.999503845
fact1972,INF1972,UNEMP1972,GDP1972,CONS1972,1/1/1972,,1024098805,0,100,8.389023896
fact1973,INF1973,UNEMP1973,GDP1973,CONS1973,1/1/1973,,972101725,0,100,11.42977253
fact1974,INF1974,UNEMP1974,GDP1974,CONS1974,1/1/1974,,1217953547,0,100,19.80633803
fact1975,INF1975,UNEMP1975,GDP1975,CONS1975,1/1/1975,89.9704308,1575789254,0,100,7.585985214
fact1976,INF1976,UNEMP1976,GDP1976,CONS1976,1/1/1976,88.2718167,1452792989,0,100,-3.113235733
fact1977,INF1977,UNEMP1977,GDP1977,CONS1977,1/1/1977,86.5046296,1382400000,0,100,9.898852843
fact1978,INF1978,UNEMP1978,GDP1978,CONS1978,1/1/1978,86.6207177,1604162497,0,100,7.346091251
fact1979,INF1979,UNEMP1979,GDP1979,CONS1979,1/1/1979,88.3637192,1851250008,0,100,3.565453785
fact1980,INF1980,UNEMP1980,GDP1980,CONS1980,1/1/1980,88.9041146,1945916583,0,100,14.68450278
fact1981,INF1981,UNEMP1981,GDP1981,CONS1981,1/1/1981,89.10902,2275583317,0,100,11.14485673
fact1982,INF1982,UNEMP1982,GDP1982,CONS1982,1/1/1982,90.0671222,2395429852,0,100,11.69854659
fact1983,INF1983,UNEMP1983,GDP1983,CONS1983,1/1/1983,91.451423,2447174803,0,100,12.37723808
fact1984,INF1984,UNEMP1984,GDP1984,CONS1984,1/1/1984,90.1345519,2581207388,0,100,2.845784957
fact1985,INF1985,UNEMP1985,GDP1985,CONS1985,1/1/1985,85.914224,2619913956,0,100,8.052641266
fact1986,INF1986,UNEMP1986,GDP1986,CONS1986,1/1/1986,88.3762831,2850784523,0,100,18.99894955
fact1987,INF1987,UNEMP1987,GDP1987,CONS1987,1/1/1987,87.9045628,2957255380,0,100,10.75032804
fact1988,INF1988,UNEMP1988,GDP1988,CONS1988,1/1/1988,88.6425506,3487009748,0,100,8.983003382
fact1989,INF1989,UNEMP1989,GDP1989,CONS1989,1/1/1989,89.7088127,3525228153,0,100,8.846886912
fact1990,INF1990,UNEMP1990,GDP1990,CONS1990,1/1/1990,93.008314,3627562403,0,100,8.239700375
fact1991,INF1991,UNEMP1991,GDP1991,CONS1991,1/1/1991,91.4400813,3921476085,1.766000032,98.233999968,15.55745293
fact1992,INF1992,UNEMP1992,GDP1992,CONS1992,1/1/1992,89.0712991,3401211581,1.707000017,98.292999983,17.14952362
fact1993,INF1993,UNEMP1993,GDP1993,CONS1993,1/1/1993,87.7527578,3660041667,1.715999961,98.284000039,7.505394191
fact1994,INF1994,UNEMP1994,GDP1994,CONS1994,1/1/1994,90.040648,4066775510,1.886999965,98.113000035,8.349286729
fact1995,INF1995,UNEMP1995,GDP1995,CONS1995,1/1/1995,84.3447023,4401104418,1.738000035,98.261999965,7.622969507
fact1996,INF1996,UNEMP1996,GDP1996,CONS1996,1/1/1996,85.6175307,4521580381,1.82099998,98.17900002,9.220466624
fact1997,INF1997,UNEMP1997,GDP1997,CONS1997,1/1/1997,86.0391497,4918691917,1.83099997,98.16900003,4.009988605
fact1998,INF1998,UNEMP1998,GDP1998,CONS1998,1/1/1998,86.2261297,4856255044,1.781000018,98.218999982,11.24446778
fact1999,INF1999,UNEMP1999,GDP1999,CONS1999,1/1/1999,86.3865207,5033642384,1.850000024,98.149999976,7.45111261
fact2000,INF2000,UNEMP2000,GDP2000,CONS2000,1/1/2000,84.8277152,5494252208,1.855000019,98.144999981,2.478820207
fact2001,INF2001,UNEMP2001,GDP2001,CONS2001,1/1/2001,88.3353727,6007055042,1.746000051,98.253999949,2.688303735
fact2002,INF2002,UNEMP2002,GDP2002,CONS2002,1/1/2002,90.5103338,6050875807,1.54400003,98.45599997,3.029399487
fact2003,INF2003,UNEMP2003,GDP2003,CONS2003,1/1/2003,91.4388202,6330473097,1.595000029,98.404999971,5.707009319
fact2004,INF2004,UNEMP2004,GDP2004,CONS2004,1/1/2004,88.2507572,7273938315,1.55400002,98.44599998,2.841811312
fact2005,INF2005,UNEMP2005,GDP2005,CONS2005,1/1/2005,88.4443402,8130258041,1.457999945,98.542000055,6.836332659
fact2006,INF2006,UNEMP2006,GDP2006,CONS2006,1/1/2006,91.0169217,9043715356,1.393000007,98.606999993,6.920335807
fact2007,INF2007,UNEMP2007,GDP2007,CONS2007,1/1/2007,90.1827915,10300000000,1.33099997,98.66900003,2.269219244
fact2008,INF2008,UNEMP2008,GDP2008,CONS2008,1/1/2008,90.1689039,12500000000,1.330000043,98.669999957,9.907830053
fact2009,INF2009,UNEMP2009,GDP2009,CONS2009,1/1/2009,90.5663343,12900000000,1.550999999,98.449000001,11.09482374
fact2010,INF2010,UNEMP2010,GDP2010,CONS2010,1/1/2010,88.548599,16000000000,1.820000052,98.179999948,9.326504107
fact2011,INF2011,UNEMP2011,GDP2011,CONS2011,1/1/2011,92.874174,21600000000,2.029999971,97.970000029,9.227075461
fact2012,INF2012,UNEMP2012,GDP2012,CONS2012,1/1/2012,90.8793663,21700000000,2.329999924,97.670000076,9.459809804
fact2013,INF2013,UNEMP2013,GDP2013,CONS2013,1/1/2013,91.8210331,22200000000,2.551000118,97.448999882,9.040163119
fact2014,INF2014,UNEMP2014,GDP2014,CONS2014,1/1/2014,90.6352828,22700000000,2.944000006,97.055999994,8.364154697
fact2015,INF2015,UNEMP2015,GDP2015,CONS2015,1/1/2015,92.3747301,24400000000,3.099999905,96.900000095,7.868908956
fact2016,INF2016,UNEMP2016,GDP2016,CONS2016,1/1/2016,96.3571411,24500000000,2.868000031,97.131999969,8.79034332
fact2017,INF2017,UNEMP2017,GDP2017,CONS2017,1/1/2017,87.0152449,29000000000,3.318000078,96.681999922,3.627096107
fact2018,INF2018,UNEMP2018,GDP2018,CONS2018,1/1/2018,85.2083879,33100000000,3.193000078,96.806999922,4.061163388
fact2019,INF2019,UNEMP2019,GDP2019,CONS2019,1/1/2019,84.6965927,34200000000,3.096999884,96.903000116,5.568685478
fact2020,INF2020,UNEMP2020,GDP2020,CONS2020,1/1/2020,94.2806425,33400000000,4.723999977,95.276000023,5.052366553
fact2021,INF2021,UNEMP2021,GDP2021,CONS2021,1/1/2021,92.2919377,36300000000,5.052000046,94.947999954,4.087910459
