UNEMP_ID,YEAR_FIELD,Unemployment,Employment
UNEMP1960,1/1/1960,0,100
UNEMP1961,1/1/1961,0,100
UNEMP1962,1/1/1962,0,100
UNEMP1963,1/1/1963,0,100
UNEMP1964,1/1/1964,0,100
UNEMP1965,1/1/1965,0,100
UNEMP1966,1/1/1966,0,100
UNEMP1967,1/1/1967,0,100
UNEMP1968,1/1/1968,0,100
UNEMP1969,1/1/1969,0,100
UNEMP1970,1/1/1970,0,100
UNEMP1971,1/1/1971,0,100
UNEMP1972,1/1/1972,0,100
UNEMP1973,1/1/1973,0,100
UNEMP1974,1/1/1974,0,100
UNEMP1975,1/1/1975,0,100
UNEMP1976,1/1/1976,0,100
UNEMP1977,1/1/1977,0,100
UNEMP1978,1/1/1978,0,100
UNEMP1979,1/1/1979,0,100
UNEMP1980,1/1/1980,0,100
UNEMP1981,1/1/1981,0,100
UNEMP1982,1/1/1982,0,100
UNEMP1983,1/1/1983,0,100
UNEMP1984,1/1/1984,0,100
UNEMP1985,1/1/1985,0,100
UNEMP1986,1/1/1986,0,100
UNEMP1987,1/1/1987,0,100
UNEMP1988,1/1/1988,0,100
UNEMP1989,1/1/1989,0,100
UNEMP1990,1/1/1990,0,100
UNEMP1991,1/1/1991,1.766000032,98.233999968
UNEMP1992,1/1/1992,1.707000017,98.292999983
UNEMP1993,1/1/1993,1.715999961,98.284000039
UNEMP1994,1/1/1994,1.886999965,98.113000035
UNEMP1995,1/1/1995,1.738000035,98.261999965
UNEMP1996,1/1/1996,1.82099998,98.17900002
UNEMP1997,1/1/1997,1.83099997,98.16900003
UNEMP1998,1/1/1998,1.781000018,98.218999982
UNEMP1999,1/1/1999,1.850000024,98.149999976
UNEMP2000,1/1/2000,1.855000019,98.144999981
UNEMP2001,1/1/2001,1.746000051,98.253999949
UNEMP2002,1/1/2002,1.54400003,98.45599997
UNEMP2003,1/1/2003,1.595000029,98.404999971
UNEMP2004,1/1/2004,1.55400002,98.44599998
UNEMP2005,1/1/2005,1.457999945,98.542000055
UNEMP2006,1/1/2006,1.393000007,98.606999993
UNEMP2007,1/1/2007,1.33099997,98.66900003
UNEMP2008,1/1/2008,1.330000043,98.669999957
UNEMP2009,1/1/2009,1.550999999,98.449000001
UNEMP2010,1/1/2010,1.820000052,98.179999948
UNEMP2011,1/1/2011,2.029999971,97.970000029
UNEMP2012,1/1/2012,2.329999924,97.670000076
UNEMP2013,1/1/2013,2.551000118,97.448999882
UNEMP2014,1/1/2014,2.944000006,97.055999994
UNEMP2015,1/1/2015,3.099999905,96.900000095
UNEMP2016,1/1/2016,2.868000031,97.131999969
UNEMP2017,1/1/2017,3.318000078,96.681999922
UNEMP2018,1/1/2018,3.193000078,96.806999922
UNEMP2019,1/1/2019,3.096999884,96.903000116
UNEMP2020,1/1/2020,4.723999977,95.276000023
UNEMP2021,1/1/2021,5.052000046,94.947999954
